FIN-01|finance|Ingest D2C Revenue|As a label admin, I want to pull D2C (Polar) orders into revenue events for a period, so that I have a local, offline source of truth for order-based income.|Reads Firestore orders mirror; filters to paid orders; maps products to releases; creates RevenueEvent records (id, source, grossCents, currency, occurredAt); idempotent on event id; stores in admin-only revenue_events collection.|functions/src/app/finance/revenue.ts:89-121; functions/src/app/finance/tools.ts:55-70
FIN-02|finance|Ingest DSP Revenue (stub)|As a label operator, I want to ingest streaming/download income from a distributor, so that I account for non-D2C revenue.|Real stub reads DISTRIBUTOR_API_TOKEN from env; throws without it; never invoked in tests; deterministic fake class included for gates.|functions/src/app/finance/revenue.ts:169-194
FIN-03|finance|Ingest PRO/MLC Revenue (stub)|As a label operator, I want to ingest publishing income from a PRO/MLC, so that I account for performance/mechanical royalties.|Real stub reads PRO_API_TOKEN from env; throws without it; never invoked in tests; deterministic fake class included for gates.|functions/src/app/finance/revenue.ts:196-216
FIN-04|finance|Compute Royalty Split|As a finance system, I want to split a release's gross revenue across payees using largest-remainder allocation, so that no cents are lost or created.|Splits totalCents across ownership splits using Hamilton method; guarantees sum = totalCents exactly; rejects invalid inputs (non-integer/negative/splits not summing to 100); returns PayeeShare array.|functions/src/app/finance/royalty.ts:50-93
FIN-05|finance|Apply Recoupment|As a finance system, I want to recoup an artist's outstanding advance from their royalty share, so that the label recovers fronted costs before payout.|Computes recoupment = min(available, outstanding); updates account.recoupedCents; never negative; carries leftover advance; pure function with persisted variant.|functions/src/app/finance/recoupment.ts:66-82; functions/src/app/finance/recoupment.ts:148-159
FIN-06|finance|Generate Royalty Statement|As a label admin, I want a per-artist/per-period statement reconciling gross to net payable, so that I have an auditable record of each artist's earnings.|Finds artist's releases; gathers period revenue events; splits each release gross via ownershipSplits; takes artist payee share (cent-exact); attributes to sources proportionally; applies deductions then recoupment; reconciles gross - deductions - recoupment = net; persists to royalty_statements; idempotent on (artistId, period).|functions/src/app/finance/statements.ts:125-214
FIN-07|finance|Propose Payout|As a label admin, I want to propose a payout for an artist's statement, so that approval can happen before execution.|Reads statement; validates artistId match; creates Payout record with status proposed; amount = statement net; no money moves; stores in admin-only payouts collection; idempotent on statementId.|functions/src/app/finance/payout.ts:70-96
FIN-08|finance|Execute Payout (CONSEQUENTIAL stub)|As a label admin, I want to execute an approved payout, so that the payment process begins.|CONSEQUENTIAL action gated by ApprovalGate via initiate_payout tool; reaches DOCUMENTED STUB only (no payment SDK); marks status executed-stub; records timestamp + stub note; no money moved; requires operator payment creds at handoff.|functions/src/app/finance/payout.ts:127-143; functions/src/app/finance/tools.ts:111-129
ANL-01|analytics|Ingest D2C Sales Analytics|As a label analyst, I want to pull D2C sales metrics from Polar orders into analytics events for a period, so that I can measure sales performance.|Reads Firestore orders mirror; filters to paid orders; maps products to releases; emits units (value=1) + revenue_cents per order; idempotent on (orderId, metric); stores in admin-only analytics_events collection; read-only.|functions/src/app/analytics/ingest.ts:173-211; functions/src/app/analytics/tools.ts:53-72
ANL-02|analytics|Ingest DSP Stats Analytics (stub)|As a label operator, I want to ingest streaming stats (streams/listeners/saves) from DSP, so that I can assess listener engagement.|Real stub reads DSP_STATS_API_TOKEN from env; throws without it; never invoked in tests; deterministic fake class included for gates; emits one event per metric.|functions/src/app/analytics/ingest.ts:122-154; functions/src/app/analytics/ingest.ts:225-241
ANL-03|analytics|Generate Insight Report|As a label analyst, I want to aggregate a period's analytics into a deterministic summary with rankings/growth, so that I can make data-driven decisions.|Pure function; sums events by source/metric; ranks releases by streams/revenue (desc, ties by releaseId asc); computes period-over-period growth (integer permille); deterministic; stores to insight_reports/{period}; read-only.|functions/src/app/analytics/insights.ts:154-175; functions/src/app/analytics/insights.ts:212-235
ANL-04|analytics|Recommend A&R Actions|As a label A&R team, I want deterministic proposals for next actions based on streaming/revenue patterns, so that I can prioritize creative strategy.|Pure function; overperformers (streams ge 1.5x avg) yield follow_up_single; underperformers (le 0.5x avg) yield marketing_push; top-revenue release yields deepen_d2c; all proposals inert (never trigger release/spend/payout); deterministic ordering; stores to anr_recommendations; read-only.|functions/src/app/analytics/anr.ts:72-101; functions/src/app/analytics/anr.ts:175-189
LGL-01|legal|Register Artist Agreement|As a legal team, I want to record an artist's contract term/royalty rate/ownership note/AI consent, so that compliance checks can verify proper authorization.|Validates artistId (non-empty), termMonths (positive integer), royaltyRatePct (0-100); creates ArtistAgreement with status draft + consent block (aiGenerationConsent bool, signedAt timestamp); stores in admin-only artist_agreements/{artistId}; idempotent; never public.|functions/src/app/legal/contracts.ts:79-108
LGL-02|legal|Activate Artist Agreement|As a legal team, I want to activate a draft agreement, so that it counts toward compliance gating.|Reads draft agreement; flips status to active; merges other fields untouched; returns updated record; throws if agreement missing; admin-only.|functions/src/app/legal/contracts.ts:124-136
LGL-03|legal|Set License Terms|As a label owner, I want to store binding license wording for a license kind, so that customers see legal terms (not placeholder).|Validates kind/bodyText non-empty; writes LicenseTerms with isPlaceholder=false, updatedAt; replaces placeholder; stores in admin-only license_terms/{kind}; idempotent.|functions/src/app/legal/license.ts:89-108
LGL-04|legal|Check Release Compliance|As a distribution system, I want to verify a release passes legal gates before DSP delivery, so that only compliant releases distribute.|Checks (a) AI-disclosure: release.aiGenerated=true + provenance for every track; (b) ownership splits exist and sum to 100; (c) active artist agreement with aiGenerationConsent=true; appends non-blocking WARNING for placeholder license; returns {compliant, issues[]}; hard failures block, warnings warn-only; read-only.|functions/src/app/legal/compliance.ts:53-126
