LBL-01|label|create_artist tool|As an agent, I want to create or overwrite an artist in the label catalog, so that the artist can be associated with releases.|Writes a world-readable artist doc (id, name, bio, photoPath, links) to the artists collection with set-with-id idempotence. Prunes undefined link fields.|functions/src/app/label/tools.ts:163-183; store.ts:60-64
LBL-02|label|create_release tool|As an agent, I want to create a release linked to an artist, so that it can contain tracks and be distributed.|Writes a release doc (id, artistId, title, catalogNumber, type, releaseDate, aiGenerated=true) to the releases collection with set-with-id idempotence. Validates and normalizes UPC barcode if present.|functions/src/app/label/tools.ts:185-202; store.ts:96-100
LBL-03|label|create_track tool|As an agent, I want to create a track on a release, so that it can be played and distributed.|Writes a PUBLIC track doc (id, releaseId, title, durationSec, previewClipPath) with no master path to the tracks collection; separately stores the PRIVATE masterPath in the admin-only track_masters collection via setTrackMaster.|functions/src/app/label/tools.ts:204-223; store.ts:164-168; store.ts:223-231
LBL-04|label|create_product tool|As an agent, I want to create a sellable product (music download), so that it can generate revenue.|Writes a product doc (id, type=music_download, title, priceCents, currency, releaseId?, polarProductId?, polarPriceId?) to the products collection with set-with-id idempotence.|functions/src/app/label/tools.ts:225-243; store.ts:310-313
LBL-05|label|set_release_identifiers tool|As an agent, I want to set a release's barcode and production credits, so that it can be properly identified in distribution.|Merges UPC/EAN barcode (validated with GS1 check digit) and production credits array onto the public release doc via Firestore merge. Throws on invalid UPC check digit.|functions/src/app/label/tools.ts:245-259; store.ts:107-130
LBL-06|label|set_track_isrc tool|As an agent, I want to set a track's PUBLIC ISRC recording identifier, so that it can be identified in DDEX delivery and licensing.|Validates ISRC format (CC-XXX-YY-NNNNN) and normalizes it; merges the isrc field onto the public track doc via Firestore merge. Throws on invalid ISRC.|functions/src/app/label/tools.ts:261-270; store.ts:175-191; identifiers.ts:27-42
LBL-07|label|set_ownership_splits tool|As an agent, I want to set a release's ownership splits, so that royalties are correctly distributed.|Validates splits (non-empty set must sum to 100, each percent gt 0 and le 100) and writes ONLY to the admin-only rights/{releaseId} collection (never the public release doc). Throws on invalid splits.|functions/src/app/label/tools.ts:272-284; store.ts:253-265; identifiers.ts:135-159
LBL-08|label|ingest_master tool|As an agent, I want to ingest a track's master audio, so that it can be previewed and distributed.|Validates master path (under masters/ with extension wav/flac/aiff) and bytes (non-empty), writes bytes to PRIVATE masters/ Storage via injected bucket, records the private path in admin-only track_masters collection, and returns the content SHA-256.|functions/src/app/label/tools.ts:308-321; assets.ts:188-198; assets.ts:137-163
LBL-09|label|generate_preview tool|As an agent, I want to generate a PUBLIC preview clip from a master, so that listeners can sample the track.|Validates preview path (under previews/), clips the master bytes using injected encoder, validates the preview bytes (non-empty, le 30s duration), writes preview to PUBLIC previews/ Storage, and sets the track's previewClipPath field.|functions/src/app/label/tools.ts:323-339; assets.ts:227-247
LBL-10|label|set_provenance tool|As an agent, I want to record a track's AI-provenance disclosure, so that listeners know it is AI-generated.|Writes a PUBLIC C2PA-style provenance record to provenance/{trackId} (admin-write, world-readable) with generator, model, disclosure, createdAt, and contentSha256 (binding the disclosure to the master bytes via SHA-256).|functions/src/app/label/tools.ts:341-360; store.ts:286-295; assets.ts:104-106
